,한자,등급(대한검정회),등급(한국어문회),등급(기초교육용)
0,嫁,1.0,1.0,심화
1,恪,1.0,1.0,심화
2,侃,1.0,0.0,심화
3,玕,1.0,0.0,심화
4,揀,1.0,1.0,심화
5,澗,1.0,1.0,심화
6,喝,1.0,1.0,심화
7,柑,1.0,1.0,심화
8,勘,1.0,1.0,심화
9,匣,1.0,1.0,심화
10,堈,1.0,0.0,심화
11,杠,1.0,0.0,심화
12,橿,1.0,0.0,심화
13,愷,1.0,0.0,심화
14,漑,1.0,1.0,심화
15,渠,1.0,1.0,심화
16,愆,1.0,0.0,심화
17,楗,1.0,0.0,심화
18,杰,1.0,2.0,심화
19,怯,1.0,1.0,심화
20,檄,1.0,1.0,심화
21,抉,1.0,0.0,심화
22,倞,1.0,0.0,심화
23,坰,1.0,0.0,심화
24,梗,1.0,1.0,심화
25,憬,1.0,1.0,심화
26,暻,1.0,0.0,심화
27,擎,1.0,0.0,심화
28,檠,1.0,0.0,심화
29,俓,1.0,0.0,심화
30,涇,1.0,0.0,심화
31,勁,1.0,1.0,심화
32,熲,1.0,0.0,심화
33,冏,1.0,0.0,심화
34,烓,1.0,0.0,심화
35,叩,1.0,1.0,심화
36,敲,1.0,1.0,심화
37,拷,1.0,1.0,심화
38,崑,1.0,0.0,심화
39,棍,1.0,1.0,심화
40,琨,1.0,0.0,심화
41,拱,1.0,1.0,심화
42,珙,1.0,0.0,심화
43,控,1.0,0.0,심화
44,廓,1.0,1.0,심화
45,棺,1.0,1.0,심화
46,灌,1.0,1.0,심화
47,琯,1.0,2.0,심화
48,瓘,1.0,0.0,심화
49,括,1.0,1.0,심화
50,侊,1.0,0.0,심화
51,洸,1.0,0.0,심화
52,珖,1.0,0.0,심화
53,桄,1.0,0.0,심화
54,匡,1.0,1.0,심화
55,曠,1.0,1.0,심화
56,炚,1.0,0.0,심화
57,拐,1.0,1.0,심화
58,槐,1.0,2.0,심화
59,宏,1.0,1.0,심화
60,喬,1.0,1.0,심화
61,攪,1.0,1.0,심화
62,嬌,1.0,1.0,심화
63,咎,1.0,0.0,심화
64,垢,1.0,1.0,심화
65,寇,1.0,1.0,심화
66,枸,1.0,1.0,심화
67,柩,1.0,1.0,심화
68,溝,1.0,1.0,심화
69,机,1.0,1.0,심화
70,潰,1.0,1.0,심화
71,橘,1.0,1.0,심화
72,戟,1.0,1.0,심화
73,剋,1.0,1.0,심화
74,墐,1.0,0.0,심화
75,漌,1.0,0.0,심화
76,劤,1.0,0.0,심화
77,昑,1.0,0.0,심화
78,扱,1.0,1.0,심화
79,汲,1.0,1.0,심화
80,亘,1.0,1.0,심화
81,妓,1.0,1.0,심화
82,淇,1.0,2.0,심화
83,璂,1.0,0.0,심화
84,玘,1.0,0.0,심화
85,杞,1.0,1.0,심화
86,埼,1.0,0.0,심화
87,崎,1.0,1.0,심화
88,圻,1.0,0.0,심화
89,嗜,1.0,1.0,심화
90,暣,1.0,0.0,심화
91,伎,1.0,1.0,심화
92,佶,1.0,0.0,심화
93,姞,1.0,0.0,심화
94,桔,1.0,0.0,심화
95,喫,1.0,1.0,심화
96,懦,1.0,1.0,심화
97,娜,1.0,0.0,심화
98,捏,1.0,1.0,심화
99,捺,1.0,1.0,심화
100,楠,1.0,0.0,심화
101,湳,1.0,0.0,심화
102,囊,1.0,1.0,심화
103,柰,1.0,0.0,심화
104,恬,1.0,0.0,심화
105,佞,1.0,0.0,심화
106,澹,1.0,1.0,심화
107,曇,1.0,1.0,심화
108,沓,1.0,0.0,심화
109,棠,1.0,1.0,심화
110,撞,1.0,1.0,심화
111,岱,1.0,0.0,심화
112,玳,1.0,0.0,심화
113,擡,1.0,1.0,심화
114,屠,1.0,1.0,심화
115,搗,1.0,1.0,심화
116,堵,1.0,1.0,심화
117,棹,1.0,0.0,심화
118,瀆,1.0,1.0,심화
119,犢,1.0,0.0,심화
120,墩,1.0,0.0,심화
121,暾,1.0,0.0,심화
122,憧,1.0,1.0,심화
123,潼,1.0,0.0,심화
124,垌,1.0,0.0,심화
125,枓,1.0,0.0,심화
126,烙,1.0,1.0,심화
127,珞,1.0,0.0,심화
128,瀾,1.0,1.0,심화
129,瓓,1.0,0.0,심화
130,狼,1.0,1.0,심화
131,琅,1.0,0.0,심화
132,崍,1.0,0.0,심화
133,倆,1.0,1.0,심화
134,戾,1.0,1.0,심화
135,漣,1.0,2.0,심화
136,攣,1.0,0.0,심화
137,璉,1.0,0.0,심화
138,冽,1.0,0.0,심화
139,洌,1.0,0.0,심화
140,濂,1.0,2.0,심화
141,伶,1.0,0.0,심화
142,姈,1.0,0.0,심화
143,昤,1.0,0.0,심화
144,怜,1.0,0.0,심화
145,撈,1.0,1.0,심화
146,彔,1.0,0.0,심화
147,瀧,1.0,0.0,심화
148,瓏,1.0,1.0,심화
149,儡,1.0,1.0,심화
150,壘,1.0,1.0,심화
151,琉,1.0,1.0,심화
152,戮,1.0,1.0,심화
153,崙,1.0,2.0,심화
154,淪,1.0,1.0,심화
155,侖,1.0,0.0,심화
156,慄,1.0,1.0,심화
157,凜,1.0,1.0,심화
158,凌,1.0,1.0,심화
159,俚,1.0,1.0,심화
160,俐,1.0,0.0,심화
161,璃,1.0,0.0,심화
162,悧,1.0,1.0,심화
163,潾,1.0,0.0,심화
164,璘,1.0,0.0,심화
165,琳,1.0,0.0,심화
166,淋,1.0,1.0,심화
167,瑪,1.0,0.0,심화
168,挽,1.0,1.0,심화
169,曼,1.0,0.0,심화
170,沫,1.0,1.0,심화
171,煤,1.0,1.0,심화
172,棉,1.0,1.0,심화
173,沔,1.0,2.0,심화
174,溟,1.0,1.0,심화
175,冒,1.0,3.0,고등
176,摸,1.0,1.0,심화
177,歿,1.0,1.0,심화
178,猫,1.0,1.0,심화
179,憮,1.0,1.0,심화
180,拇,1.0,1.0,심화
181,珷,1.0,0.0,심화
182,撫,1.0,1.0,심화
183,懋,1.0,0.0,심화
184,炆,1.0,0.0,심화
185,渼,1.0,0.0,심화
186,岷,1.0,0.0,심화
187,忞,1.0,0.0,심화
188,慜,1.0,0.0,심화
189,敃,1.0,0.0,심화
190,珀,1.0,1.0,심화
191,撲,1.0,1.0,심화
192,璞,1.0,0.0,심화
193,勃,1.0,1.0,심화
194,潑,1.0,1.0,심화
195,坊,1.0,1.0,심화
196,彷,1.0,1.0,심화
197,滂,1.0,0.0,심화
198,昉,1.0,1.0,심화
199,徘,1.0,1.0,심화
200,湃,1.0,1.0,심화
201,佰,1.0,0.0,심화
202,帆,1.0,1.0,심화
203,杋,1.0,0.0,심화
204,氾,1.0,1.0,심화
205,璧,1.0,1.0,심화
206,甁,1.0,1.0,심화
207,棅,1.0,0.0,심화
208,潽,1.0,2.0,심화
209,堡,1.0,1.0,심화
210,捧,1.0,1.0,심화
211,琫,1.0,0.0,심화
212,烽,1.0,1.0,심화
213,棒,1.0,1.0,심화
214,孵,1.0,1.0,심화
215,斧,1.0,1.0,심화
216,孚,1.0,0.0,심화
217,溥,1.0,0.0,심화
218,俯,1.0,1.0,심화
219,汾,1.0,0.0,심화
220,泌,1.0,2.0,심화
221,庇,1.0,1.0,심화
222,枇,1.0,0.0,심화
223,琵,1.0,1.0,심화
224,扉,1.0,1.0,심화
225,斌,1.0,0.0,심화
226,濱,1.0,1.0,심화
227,嬪,1.0,1.0,심화
228,牝,1.0,0.0,심화
229,憑,1.0,1.0,심화
230,夬,1.0,0.0,심화
231,咤,1.0,0.0,심화
232,唾,1.0,1.0,심화
233,惰,1.0,1.0,심화
234,倬,1.0,0.0,심화
235,琸,1.0,0.0,심화
236,晫,1.0,0.0,심화
237,擢,1.0,1.0,심화
238,嘆,1.0,0.0,심화
239,坦,1.0,1.0,심화
240,憚,1.0,1.0,심화
241,搭,1.0,1.0,심화
242,汰,1.0,1.0,심화
243,垞,1.0,0.0,심화
244,撐,1.0,1.0,심화
245,桶,1.0,1.0,심화
246,堆,1.0,1.0,심화
247,套,1.0,1.0,심화
248,妬,1.0,1.0,심화
249,婆,1.0,1.0,심화
250,巴,1.0,1.0,심화
251,杷,1.0,0.0,심화
252,琶,1.0,1.0,심화
253,坂,1.0,0.0,심화
254,浿,1.0,0.0,심화
255,佩,1.0,1.0,심화
256,沛,1.0,1.0,심화
257,澎,1.0,1.0,심화
258,烹,1.0,0.0,심화
259,枰,1.0,0.0,심화
260,庖,1.0,1.0,심화
261,泡,1.0,1.0,심화
262,瀑,1.0,1.0,심화
263,彪,1.0,0.0,심화
264,披,1.0,1.0,심화
265,珌,1.0,0.0,심화
266,佖,1.0,0.0,심화
267,廈,1.0,0.0,심화
268,壑,1.0,1.0,심화
269,澣,1.0,1.0,심화
270,涵,1.0,1.0,심화
271,姮,1.0,0.0,심화
272,偕,1.0,1.0,심화
273,楷,1.0,1.0,심화
274,倖,1.0,0.0,심화
275,珦,1.0,0.0,심화
276,墟,1.0,1.0,심화
277,奕,1.0,0.0,심화
278,晛,1.0,0.0,심화
279,泫,1.0,0.0,심화
280,玹,1.0,0.0,심화
281,俠,1.0,1.0,심화
282,挾,1.0,1.0,심화
283,浹,1.0,0.0,심화
284,珩,1.0,0.0,심화
285,泂,1.0,0.0,심화
286,熒,1.0,0.0,심화
287,彗,1.0,1.0,심화
288,嵇,1.0,0.0,심화
289,憓,1.0,0.0,심화
290,淏,1.0,0.0,심화
291,灝,1.0,0.0,심화
292,琥,1.0,1.0,심화
293,瑚,1.0,1.0,심화
294,壺,1.0,0.0,심화
295,濩,1.0,0.0,심화
296,弧,1.0,1.0,심화
297,狐,1.0,1.0,심화
298,渾,1.0,1.0,심화
299,惚,1.0,1.0,심화
300,烘,1.0,0.0,심화
301,嬅,1.0,2.0,심화
302,樺,1.0,2.0,심화
303,喚,1.0,1.0,심화
304,奐,1.0,0.0,심화
305,渙,1.0,0.0,심화
306,晥,1.0,0.0,심화
307,徨,1.0,1.0,심화
308,惶,1.0,1.0,심화
309,堭,1.0,0.0,심화
310,媓,1.0,0.0,심화
311,榥,1.0,0.0,심화
312,煌,1.0,1.0,심화
313,恍,1.0,1.0,심화
314,璜,1.0,0.0,심화
315,徊,1.0,1.0,심화
316,恢,1.0,1.0,심화
317,晦,1.0,1.0,심화
318,檜,1.0,2.0,심화
319,澮,1.0,0.0,심화
320,涍,1.0,0.0,심화
321,斅,1.0,0.0,심화
322,嚆,1.0,1.0,심화
323,焄,1.0,0.0,심화
324,燻,1.0,0.0,심화
325,喧,1.0,1.0,심화
326,暄,1.0,0.0,심화
327,彙,1.0,1.0,심화
328,暉,1.0,0.0,심화
329,欣,1.0,1.0,심화
330,炘,1.0,0.0,심화
331,昕,1.0,0.0,심화
332,屹,1.0,0.0,심화
333,洽,1.0,1.0,심화
334,恰,1.0,1.0,심화
335,晞,1.0,0.0,심화
336,僖,1.0,0.0,심화
337,凞,1.0,0.0,심화
338,爔,1.0,0.0,심화
339,曦,1.0,0.0,심화
340,伽,1.5,2.0,심화
341,嘉,1.5,1.0,심화
342,柯,1.5,2.0,심화
343,殼,1.5,1.0,심화
344,珏,1.5,2.0,심화
345,墾,1.5,1.0,심화
346,奸,1.5,1.0,심화
347,杆,1.5,2.0,심화
348,堪,1.5,1.0,심화
349,岬,1.5,2.0,심화
350,姜,1.5,2.0,심화
351,彊,1.5,2.0,심화
352,岡,1.5,2.0,심화
353,慷,1.5,1.0,심화
354,价,1.5,2.0,심화
355,凱,1.5,1.0,심화
356,塏,1.5,2.0,심화
357,桀,1.5,2.0,심화
358,劫,1.5,1.0,심화
359,甄,1.5,2.0,심화
360,儆,1.5,2.0,심화
361,璟,1.5,2.0,심화
362,瓊,1.5,2.0,심화
363,屆,1.5,0.0,심화
364,昆,1.5,1.0,심화
365,串,1.5,2.0,심화
366,款,1.5,2.0,심화
367,仇,1.5,1.0,심화
368,灸,1.5,1.0,심화
369,毆,1.5,1.0,심화
370,玖,1.5,2.0,심화
371,掘,1.5,2.0,심화
372,倦,1.5,1.0,심화
373,圭,1.5,2.0,심화
374,奎,1.5,2.0,심화
375,揆,1.5,2.0,심화
376,珪,1.5,2.0,심화
377,棘,1.5,1.0,심화
378,瑾,1.5,2.0,심화
379,兢,1.5,2.0,심화
380,冀,1.5,2.0,심화
381,岐,1.5,2.0,심화
382,棋,1.5,2.0,심화
383,琦,1.5,2.0,심화
384,琪,1.5,2.0,심화
385,璣,1.5,2.0,심화
386,沂,1.5,2.0,심화
387,拏,1.5,1.0,심화
388,溺,1.5,2.0,심화
389,湍,1.5,2.0,심화
390,撻,1.5,1.0,심화
391,塘,1.5,2.0,심화
392,燾,1.5,2.0,심화
393,濤,1.5,1.0,심화
394,惇,1.5,2.0,심화
395,燉,1.5,2.0,심화
396,乭,1.5,2.0,심화
397,杜,1.5,2.0,심화
398,懶,1.5,1.0,심화
399,剌,1.5,1.0,심화
400,拉,1.5,2.0,심화
401,亮,1.5,2.0,심화
402,侶,1.5,1.0,심화
403,呂,1.5,2.0,심화
404,廬,1.5,2.0,심화
405,斂,1.5,1.0,심화
406,玲,1.5,2.0,심화
407,劉,1.5,2.0,심화
408,楞,1.5,2.0,심화
409,吝,1.5,1.0,심화
410,寞,1.5,1.0,심화
411,寐,1.5,1.0,심화
412,昧,1.5,1.0,심화
413,冕,1.5,2.0,심화
414,俛,1.5,2.0,심화
415,牟,1.5,2.0,심화
416,帽,1.5,2.0,심화
417,牡,1.5,1.0,심화
418,描,1.5,1.0,심화
419,昴,1.5,2.0,심화
420,巫,1.5,1.0,심화
421,毋,1.5,1.0,심화
422,汶,1.5,2.0,심화
423,彌,1.5,2.0,심화
424,悶,1.5,1.0,심화
425,旻,1.5,2.0,심화
426,旼,1.5,2.0,심화
427,玟,1.5,2.0,심화
428,珉,1.5,2.0,심화
429,潘,1.5,2.0,심화
430,渤,1.5,2.0,심화
431,旁,1.5,2.0,심화
432,帛,1.5,1.0,심화
433,卞,1.5,2.0,심화
434,弁,1.5,2.0,심화
435,昺,1.5,2.0,심화
436,柄,1.5,2.0,심화
437,炳,1.5,2.0,심화
438,僕,1.5,1.0,심화
439,剖,1.5,1.0,심화
440,傅,1.5,2.0,심화
441,敷,1.5,2.0,심화
442,噴,1.5,1.0,심화
443,忿,1.5,1.0,심화
444,焚,1.5,1.0,심화
445,丕,1.5,2.0,심화
446,匕,1.5,1.0,심화
447,毘,1.5,2.0,심화
448,毖,1.5,2.0,심화
449,彬,1.5,2.0,심화
450,泗,1.5,2.0,심화
451,奢,1.5,1.0,심화
452,嗣,1.5,1.0,심화
453,徙,1.5,1.0,심화
454,撒,1.5,1.0,심화
455,庠,1.5,2.0,심화
456,嗇,1.5,1.0,심화
457,牲,1.5,1.0,심화
458,棲,1.5,1.0,심화
459,奭,1.5,2.0,심화
460,晳,1.5,2.0,심화
461,瑄,1.5,2.0,심화
462,璇,1.5,2.0,심화
463,璿,1.5,2.0,심화
464,卨,1.5,2.0,심화
465,暹,1.5,2.0,심화
466,燮,1.5,2.0,심화
467,晟,1.5,2.0,심화
468,巢,1.5,2.0,심화
469,沼,1.5,2.0,심화
470,宋,1.5,2.0,심화
471,悚,1.5,1.0,심화
472,戍,1.5,1.0,심화
473,塾,1.5,1.0,심화
474,洵,1.5,2.0,심화
475,淳,1.5,2.0,심화
476,珣,1.5,2.0,심화
477,瑟,1.5,2.0,심화
478,媤,1.5,1.0,심화
479,尸,1.5,0.0,심화
480,弑,1.5,1.0,심화
481,猜,1.5,1.0,심화
482,柴,1.5,2.0,심화
483,湜,1.5,2.0,심화
484,娠,1.5,1.0,심화
485,瀋,1.5,2.0,심화
486,啞,1.5,1.0,심화
487,嶽,1.5,0.0,심화
488,斡,1.5,1.0,심화
489,庵,1.5,1.0,심화
490,埃,1.5,2.0,심화
491,倻,1.5,2.0,심화
492,彦,1.5,2.0,심화
493,姸,1.5,2.0,심화
494,淵,1.5,2.0,심화
495,捐,1.5,1.0,심화
496,燁,1.5,2.0,심화
497,瑛,1.5,2.0,심화
498,瑩,1.5,2.0,심화
499,濊,1.5,2.0,심화
500,伍,1.5,1.0,심화
501,吳,1.5,2.0,심화
502,墺,1.5,2.0,심화
503,沃,1.5,2.0,심화
504,擁,1.5,3.0,고등
505,甕,1.5,2.0,심화
506,旺,1.5,2.0,심화
507,汪,1.5,2.0,심화
508,倭,1.5,2.0,심화
509,夭,1.5,1.0,심화
510,姚,1.5,2.0,심화
511,溶,1.5,2.0,심화
512,瑢,1.5,2.0,심화
513,佑,1.5,2.0,심화
514,寓,1.5,1.0,심화
515,旭,1.5,2.0,심화
516,昱,1.5,2.0,심화
517,煜,1.5,2.0,심화
518,熊,1.5,2.0,심화
519,媛,1.5,2.0,심화
520,瑗,1.5,2.0,심화
521,渭,1.5,2.0,심화
522,喩,1.5,1.0,심화
523,庾,1.5,2.0,심화
524,兪,1.5,2.0,심화
525,楡,1.5,2.0,심화
526,允,1.5,2.0,심화
527,垠,1.5,2.0,심화
528,殷,1.5,2.0,심화
529,姨,1.5,1.0,심화
530,珥,1.5,2.0,심화
531,怡,1.5,2.0,심화
532,咽,1.5,1.0,심화
533,佾,1.5,2.0,심화
534,滋,1.5,2.0,심화
535,炙,1.5,1.0,심화
536,匠,1.5,1.0,심화
537,庄,1.5,2.0,심화
538,杖,1.5,1.0,심화
539,樟,1.5,0.0,심화
540,璋,1.5,2.0,심화
541,呈,1.5,2.0,심화
542,晶,1.5,2.0,심화
543,珽,1.5,2.0,심화
544,旌,1.5,2.0,심화
545,楨,1.5,2.0,심화
546,汀,1.5,2.0,심화
547,悌,1.5,1.0,심화
548,爪,1.5,1.0,심화
549,曹,1.5,1.0,심화
550,曺,1.5,2.0,심화
551,琮,1.5,2.0,심화
552,做,1.5,1.0,심화
553,廚,1.5,1.0,심화
554,准,1.5,2.0,심화
555,埈,1.5,2.0,심화
556,峻,1.5,2.0,심화
557,晙,1.5,2.0,심화
558,浚,1.5,2.0,심화
559,濬,1.5,2.0,심화
560,址,1.5,2.0,심화
561,晉,1.5,0.0,심화
562,叱,1.5,1.0,심화
563,斟,1.5,1.0,심화
564,叉,1.5,1.0,심화
565,燦,1.5,2.0,심화
566,璨,1.5,2.0,심화
567,瓚,1.5,2.0,심화
568,敞,1.5,2.0,심화
569,昶,1.5,2.0,심화
570,埰,1.5,2.0,심화
571,喆,1.5,2.0,심화
572,澈,1.5,2.0,심화
573,捷,1.5,1.0,심화
574,楚,1.5,2.0,심화
575,囑,1.5,1.0,심화
576,叢,1.5,1.0,심화
577,崔,1.5,2.0,심화
578,椿,1.5,2.0,심화
579,沖,1.5,2.0,심화
580,仄,1.5,0.0,심화
581,惻,1.5,1.0,심화
582,侈,1.5,1.0,심화
583,峙,1.5,2.0,심화
584,勅,1.5,1.0,심화
585,呑,1.5,1.0,심화
586,灘,1.5,2.0,심화
587,兌,1.5,2.0,심화
588,台,1.5,2.0,심화
589,坡,1.5,2.0,심화
590,牌,1.5,1.0,심화
591,彭,1.5,2.0,심화
592,扁,1.5,2.0,심화
593,哺,1.5,1.0,심화
594,杓,1.5,2.0,심화
595,弼,1.5,2.0,심화
596,乏,1.5,1.0,심화
597,瑕,1.5,1.0,심화
598,函,1.5,1.0,심화
599,亢,1.5,2.0,심화
600,沆,1.5,2.0,심화
601,懈,1.5,1.0,심화
602,杏,1.5,2.0,심화
603,爀,1.5,2.0,심화
604,峴,1.5,2.0,심화
605,炫,1.5,2.0,심화
606,狹,1.5,1.0,심화
607,瀅,1.5,2.0,심화
608,炯,1.5,2.0,심화
609,昊,1.5,2.0,심화
610,晧,1.5,2.0,심화
611,壕,1.5,2.0,심화
612,濠,1.5,2.0,심화
613,扈,1.5,2.0,심화
614,泓,1.5,2.0,심화
615,桓,1.5,2.0,심화
616,煥,1.5,2.0,심화
617,猾,1.5,1.0,심화
618,晃,1.5,2.0,심화
619,滉,1.5,2.0,심화
620,淮,1.5,2.0,심화
621,后,1.5,2.0,심화
622,熏,1.5,2.0,심화
623,壎,1.5,2.0,심화
624,徽,1.5,2.0,심화
625,烋,1.5,2.0,심화
626,匈,1.5,2.0,심화
627,欠,1.5,1.0,심화
628,欽,1.5,2.0,심화
629,姬,1.5,2.0,심화
630,嬉,1.5,2.0,심화
631,熹,1.5,2.0,심화
632,憙,1.5,2.0,심화
633,犧,1.5,1.0,심화
634,幹,2.0,3.5,고등
635,懇,2.0,3.5,고등
636,憾,2.0,2.0,심화
637,剛,2.0,3.5,고등
638,慨,2.0,3.0,고등
639,坑,2.0,2.0,심화
640,乞,2.0,3.0,고등
641,揭,2.0,2.0,심화
642,牽,2.0,3.0,고등
643,徑,2.0,3.5,고등
644,炅,2.0,2.0,심화
645,桂,2.0,3.5,고등
646,哭,2.0,3.5,고등
647,寡,2.0,3.5,고등
648,寬,2.0,3.5,고등
649,狂,2.0,3.5,고등
650,卦,2.0,1.0,심화
651,掛,2.0,3.0,고등
652,塊,2.0,3.0,고등
653,愧,2.0,3.0,고등
654,傀,2.0,2.0,심화
655,僑,2.0,2.0,심화
656,狡,2.0,1.0,심화
657,丘,2.0,3.5,고등
658,俱,2.0,3.0,고등
659,狗,2.0,3.0,고등
660,懼,2.0,3.0,고등
661,歐,2.0,2.0,심화
662,圈,2.0,2.0,심화
663,厥,2.0,3.0,고등
664,叫,2.0,3.0,고등
665,僅,2.0,3.0,고등
666,槿,2.0,2.0,심화
667,棄,2.0,3.0,고등
668,忌,2.0,3.0,고등
669,奈,2.0,3.0,고등
670,惱,2.0,3.0,고등
671,尿,2.0,2.0,심화
672,尼,2.0,2.0,심화
673,泥,2.0,3.5,고등
674,匿,2.0,1.0,심화
675,旦,2.0,3.5,고등
676,潭,2.0,2.0,심화
677,唐,2.0,3.5,고등
678,垈,2.0,2.0,심화
679,戴,2.0,2.0,심화
680,渡,2.0,3.5,고등
681,挑,2.0,3.0,고등
682,桃,2.0,3.5,고등
683,悼,2.0,2.0,심화
684,塗,2.0,3.0,고등
685,凍,2.0,3.5,고등
686,桐,2.0,2.0,심화
687,棟,2.0,2.0,심화
688,屯,2.0,3.0,고등
689,洛,2.0,2.0,심화
690,欄,2.0,3.5,고등
691,爛,2.0,2.0,심화
692,濫,2.0,3.0,고등
693,廊,2.0,3.5,고등
694,掠,2.0,3.0,고등
695,梁,2.0,3.5,고등
696,曆,2.0,3.5,고등
697,煉,2.0,2.0,심화
698,廉,2.0,3.0,고등
699,獵,2.0,3.0,고등
700,爐,2.0,3.5,고등
701,僚,2.0,3.0,고등
702,漏,2.0,3.5,고등
703,淚,2.0,3.0,고등
704,屢,2.0,3.0,고등
705,摩,2.0,2.0,심화
706,幕,2.0,3.5,고등
707,漠,2.0,3.5,고등
708,慢,2.0,3.0,고등
709,漫,2.0,3.0,고등
710,灣,2.0,2.0,심화
711,娩,2.0,2.0,심화
712,埋,2.0,3.0,고등
713,媒,2.0,3.5,고등
714,枚,2.0,2.0,심화
715,猛,2.0,3.5,고등
716,滅,2.0,3.5,고등
717,侮,2.0,3.0,고등
718,沒,2.0,3.5,고등
719,憫,2.0,3.0,고등
720,泊,2.0,3.0,고등
721,叛,2.0,3.0,고등
722,伴,2.0,3.0,고등
723,搬,2.0,2.0,심화
724,拔,2.0,3.5,고등
725,傍,2.0,3.0,고등
726,倣,2.0,3.0,고등
727,俳,2.0,2.0,심화
728,伯,2.0,3.5,고등
729,柏,2.0,2.0,심화
730,煩,2.0,3.0,고등
731,僻,2.0,2.0,심화
732,屛,2.0,3.0,고등
733,倂,2.0,2.0,심화
734,封,2.0,3.5,고등
735,俸,2.0,2.0,심화
736,墳,2.0,3.0,고등
737,崩,2.0,3.0,고등
738,匪,2.0,2.0,심화
739,沙,2.0,3.5,고등
740,斜,2.0,3.5,고등
741,似,2.0,3.0,고등
742,唆,2.0,2.0,심화
743,傘,2.0,2.0,심화
744,揷,2.0,2.0,심화
745,桑,2.0,3.5,고등
746,嘗,2.0,3.0,고등
747,塞,2.0,3.5,고등
748,敍,2.0,3.0,고등
749,瑞,2.0,2.0,심화
750,旋,2.0,3.5,고등
751,攝,2.0,3.0,고등
752,召,2.0,3.0,고등
753,燒,2.0,3.5,고등
754,洙,2.0,2.0,심화
755,獸,2.0,3.5,고등
756,垂,2.0,3.5,고등
757,搜,2.0,3.0,고등
758,孰,2.0,3.0,고등
759,循,2.0,3.0,고등
760,殉,2.0,3.0,고등
761,升,2.0,2.0,심화
762,僧,2.0,3.5,고등
763,昇,2.0,3.5,고등
764,屍,2.0,2.0,심화
765,殖,2.0,2.0,심화
766,伸,2.0,3.0,고등
767,晨,2.0,3.0,고등
768,尋,2.0,3.0,고등
769,岳,2.0,3.0,고등
770,握,2.0,2.0,심화
771,按,2.0,1.0,심화
772,晏,2.0,1.0,심화
773,押,2.0,3.0,고등
774,殃,2.0,3.0,고등
775,厄,2.0,3.0,고등
776,惹,2.0,2.0,심화
777,孃,2.0,2.0,심화
778,御,2.0,3.5,고등
779,抑,2.0,3.5,고등
780,焉,2.0,3.0,고등
781,予,2.0,3.0,고등
782,燕,2.0,3.5,고등
783,厭,2.0,2.0,심화
784,影,2.0,3.5,고등
785,梧,2.0,2.0,심화
786,娛,2.0,3.0,고등
787,傲,2.0,3.0,고등
788,嗚,2.0,3.0,고등
789,獄,2.0,3.5,고등
790,歪,2.0,2.0,심화
791,搖,2.0,3.0,고등
792,妖,2.0,2.0,심화
793,堯,2.0,2.0,심화
794,庸,2.0,3.0,고등
795,傭,2.0,2.0,심화
796,偶,2.0,3.5,고등
797,僞,2.0,3.5,고등
798,尉,2.0,2.0,심화
799,惟,2.0,3.0,고등
800,幽,2.0,3.5,고등
801,愈,2.0,3.0,고등
802,尹,2.0,2.0,심화
803,潤,2.0,3.5,고등
804,淫,2.0,3.5,고등
805,凝,2.0,3.0,고등
806,夷,2.0,3.0,고등
807,伊,2.0,2.0,심화
808,姙,2.0,0.0,심화
809,刺,2.0,3.5,고등
810,恣,2.0,3.0,고등
811,玆,2.0,3.0,고등
812,爵,2.0,3.0,고등
813,暫,2.0,3.5,고등
814,掌,2.0,3.5,고등
815,墻,2.0,3.0,고등
816,宰,2.0,3.0,고등
817,摘,2.0,3.5,고등
818,寂,2.0,3.5,고등
819,滴,2.0,3.0,고등
820,殿,2.0,3.5,고등
821,漸,2.0,3.5,고등
822,偵,2.0,2.0,심화
823,劑,2.0,2.0,심화
824,燥,2.0,3.0,고등
825,措,2.0,2.0,심화
826,彫,2.0,2.0,심화
827,洲,2.0,3.5,고등
828,奏,2.0,3.5,고등
829,珠,2.0,3.5,고등
830,仲,2.0,3.5,고등
831,憎,2.0,3.5,고등
832,旨,2.0,2.0,심화
833,振,2.0,3.5,고등
834,津,2.0,2.0,심화
835,塵,2.0,2.0,심화
836,懲,2.0,3.0,고등
837,徵,2.0,3.5,고등
838,捉,2.0,3.0,고등
839,札,2.0,2.0,심화
840,刹,2.0,2.0,심화
841,慘,2.0,3.0,고등
842,慙,2.0,3.0,고등
843,斬,2.0,2.0,심화
844,暢,2.0,3.0,고등
845,滄,2.0,2.0,심화
846,彰,2.0,2.0,심화
847,彩,2.0,3.5,고등
848,悽,2.0,2.0,심화
849,斥,2.0,3.0,고등
850,徹,2.0,3.5,고등
851,撤,2.0,2.0,심화
852,滯,2.0,3.5,고등
853,抄,2.0,3.0,고등
854,哨,2.0,2.0,심화
855,焦,2.0,2.0,심화
856,燭,2.0,3.0,고등
857,寵,2.0,1.0,심화
858,催,2.0,3.5,고등
859,抽,2.0,3.0,고등
860,炊,2.0,2.0,심화
861,漆,2.0,3.5,고등
862,枕,2.0,3.0,고등
863,墮,2.0,3.0,고등
864,琢,2.0,2.0,심화
865,托,2.0,3.0,고등
866,殆,2.0,3.5,고등
867,把,2.0,3.0,고등
868,偏,2.0,3.5,고등
869,坪,2.0,2.0,심화
870,廢,2.0,3.5,고등
871,弊,2.0,3.5,고등
